turn,time_elapsed,event_type,clan,province,units,provinces,damage,units_lost
1,13.6,BATTLE_LOSS,Tada,Kyoto,678,1,577,64
1,13.6,TURN_SNAPSHOT,Tada,,0,1,0,0
1,13.6,TURN_SNAPSHOT,Date,,450,2,0,0
1,13.6,TURN_SNAPSHOT,Nori,,101,1,0,0
1,13.6,TURN_SNAPSHOT,Abe,,471,2,0,0
2,4.9,TURN_SNAPSHOT,Tada,,0,1,0,0
2,4.9,TURN_SNAPSHOT,Date,,450,2,0,0
2,4.9,TURN_SNAPSHOT,Nori,,101,1,0,0
2,4.9,TURN_SNAPSHOT,Abe,,471,2,0,0
3,2.1,TURN_SNAPSHOT,Tada,,0,1,0,0
3,2.1,TURN_SNAPSHOT,Date,,450,2,0,0
3,2.1,TURN_SNAPSHOT,Nori,,101,1,0,0
3,2.1,TURN_SNAPSHOT,Abe,,471,2,0,0
4,6.9,TURN_SNAPSHOT,Tada,,0,1,0,0
4,6.9,TURN_SNAPSHOT,Date,,1150,2,0,0
4,6.9,TURN_SNAPSHOT,Nori,,101,1,0,0
4,6.9,TURN_SNAPSHOT,Abe,,471,2,0,0
5,11.1,RECRUIT,Tada,Kyoto,85,1,0,0
5,11.1,RECRUIT,Tada,Kyoto,85,1,0,0
5,11.1,RECRUIT,Tada,Kyoto,85,1,0,0
5,11.1,TURN_SNAPSHOT,Tada,,5355,1,0,0
5,11.1,TURN_SNAPSHOT,Date,,1850,1,0,0
5,11.1,TURN_SNAPSHOT,Nori,,101,1,0,0
5,11.1,TURN_SNAPSHOT,Abe,,471,2,0,0
6,6.3,BATTLE_WIN,Tada,Kyoto,101,1,5355,4
6,12.2,TURN_SNAPSHOT,Tada,,5271,1,0,0
6,12.2,TURN_SNAPSHOT,Date,,3510,2,0,0
6,12.2,TURN_SNAPSHOT,Nori,,0,1,0,0
6,12.2,TURN_SNAPSHOT,Abe,,471,2,0,0
7,1.5,TURN_SNAPSHOT,Tada,,5271,1,0,0
7,1.5,TURN_SNAPSHOT,Date,,5870,3,0,0
7,1.5,TURN_SNAPSHOT,Nori,,0,1,0,0
7,1.5,TURN_SNAPSHOT,Abe,,2083,2,0,0
8,142.0,BATTLE_WIN,Tada,Kyoto,1583,1,5271,75
8,142.0,TURN_SNAPSHOT,Tada,,3696,1,0,0
8,142.0,TURN_SNAPSHOT,Date,,8370,3,0,0
8,142.0,TURN_SNAPSHOT,Nori,,0,1,0,0
8,142.0,TURN_SNAPSHOT,Abe,,3695,2,0,0
9,5.8,BATTLE_WIN,Tada,Kyoto,1583,1,3696,75
9,5.8,TURN_SNAPSHOT,Tada,,2121,1,0,0
9,5.8,TURN_SNAPSHOT,Date,,10870,2,0,0
9,5.8,TURN_SNAPSHOT,Nori,,0,1,0,0
9,5.8,TURN_SNAPSHOT,Abe,,5307,2,0,0
10,3.4,SIEGE_LOSS,Tada,Kyoto,1583,2,1050,150
10,3.4,TURN_SNAPSHOT,Tada,,2121,1,0,0
10,3.4,TURN_SNAPSHOT,Date,,12670,2,0,0
10,3.4,TURN_SNAPSHOT,Nori,,533,2,0,0
10,3.4,TURN_SNAPSHOT,Abe,,6919,2,0,0
