turn,time_elapsed,event_type,clan,province,units,provinces,damage,units_lost
1,2.3,TURN_SNAPSHOT,Tada,,0,1,0,0
1,2.3,TURN_SNAPSHOT,Date,,600,1,0,0
1,2.3,TURN_SNAPSHOT,Nori,,0,1,0,0
1,2.3,TURN_SNAPSHOT,Abe,,471,2,0,0
2,2.6,TURN_SNAPSHOT,Tada,,0,1,0,0
2,2.6,TURN_SNAPSHOT,Date,,600,1,0,0
2,2.6,TURN_SNAPSHOT,Nori,,0,1,0,0
2,2.6,TURN_SNAPSHOT,Abe,,471,2,0,0
3,0.6,TURN_SNAPSHOT,Tada,,0,1,0,0
3,0.6,TURN_SNAPSHOT,Date,,600,1,0,0
3,0.6,TURN_SNAPSHOT,Nori,,0,1,0,0
3,0.6,TURN_SNAPSHOT,Abe,,471,2,0,0
4,3.3,TURN_SNAPSHOT,Tada,,0,1,0,0
4,3.3,TURN_SNAPSHOT,Date,,600,1,0,0
4,3.3,TURN_SNAPSHOT,Nori,,0,1,0,0
4,3.3,TURN_SNAPSHOT,Abe,,471,2,0,0
5,2.1,TURN_SNAPSHOT,Tada,,0,1,0,0
5,2.1,TURN_SNAPSHOT,Date,,600,1,0,0
5,2.1,TURN_SNAPSHOT,Nori,,0,1,0,0
5,2.1,TURN_SNAPSHOT,Abe,,471,2,0,0
6,0.4,TURN_SNAPSHOT,Tada,,0,1,0,0
6,0.4,TURN_SNAPSHOT,Date,,600,1,0,0
6,0.4,TURN_SNAPSHOT,Nori,,0,1,0,0
6,0.4,TURN_SNAPSHOT,Abe,,471,2,0,0
7,0.3,TURN_SNAPSHOT,Tada,,0,1,0,0
7,0.3,TURN_SNAPSHOT,Date,,600,1,0,0
7,0.3,TURN_SNAPSHOT,Nori,,0,1,0,0
7,0.3,TURN_SNAPSHOT,Abe,,2083,2,0,0
8,1.9,TURN_SNAPSHOT,Tada,,0,1,0,0
8,1.9,TURN_SNAPSHOT,Date,,600,1,0,0
8,1.9,TURN_SNAPSHOT,Nori,,0,1,0,0
8,1.9,TURN_SNAPSHOT,Abe,,3695,2,0,0
9,0.2,TURN_SNAPSHOT,Tada,,0,1,0,0
9,0.2,TURN_SNAPSHOT,Date,,600,1,0,0
9,0.2,TURN_SNAPSHOT,Nori,,0,1,0,0
9,0.2,TURN_SNAPSHOT,Abe,,5307,2,0,0
